Feature	Gain	Cover	Frequency
ctrx_quarter	0.136455840192096	0.0450363402352441	0.0576830915348756
mpasivos_margen	0.0547089510733759	0.0391260297185583	0.0506687578965713
mcuentas_saldo	0.0414989889549769	0.0483374803326374	0.04552781771446
mrentabilidad_annual	0.0397420765802018	0.0459483420047046	0.0454406831351022
numero_de_cliente	0.0382706506128777	0.0762916383738911	0.0554175924715723
Master_fechaalta	0.0330464211183265	0.0411460690298884	0.0426088093059731
Visa_fechaalta	0.0318437683618541	0.0422273429084469	0.0394283971594127
cliente_antiguedad	0.0317457828390409	0.0620969813654551	0.0462684616390014
mcaja_ahorro	0.030241713809069	0.0229594170147228	0.0347231298740905
Visa_Fvencimiento	0.0298746004252276	0.0363284668329408	0.0369450616477149
cliente_edad	0.0282542863411424	0.0486099503175085	0.0409968195878534
mactivos_margen	0.0276713801725287	0.0366520134957454	0.0336775149217967
Master_Fvencimiento	0.0269685832763429	0.028407977180711	0.0318041214656036
mpayroll	0.0268754183004443	0.00742511773740285	0.00413889251949636
mcuenta_corriente	0.0253197564505349	0.0580998132788807	0.0351588027708796
chomebanking_trx	0.0247560651816282	0.0181709231806775	0.0269245850215658
mrentabilidad	0.0224753467156374	0.0266501054561462	0.0293643532435847
cpayroll_trx	0.0205188438209866	0.00214075794328282	0.000871345793578182
mtarjeta_visa_consumo	0.0200726140984296	0.0104098258842091	0.0135494270901407
Master_mfinanciacion_limite	0.01613922449212	0.0153864899217988	0.0183853962444996
mtransferencias_recibidas	0.0157937214803022	0.0133705261958585	0.0190389055896833
Visa_mpagospesos	0.0156632531692371	0.0131818446727568	0.0193003093277567
Visa_mconsumospesos	0.015378261010408	0.0105833486250318	0.0170348102644535
Visa_mfinanciacion_limite	0.0153464897405148	0.0145856402717642	0.0172090794231691
mcaja_ahorro_dolares	0.0150740649383012	0.0128014344383812	0.0157713588637651
mcomisiones_otras	0.0142618079031661	0.0133327127326563	0.0149435803598658
mprestamos_personales	0.0138905313721242	0.0126924277881786	0.00548947849954254
Visa_mpagominimo	0.0121256732207496	0.00970459183975652	0.0140722345662876
Visa_msaldopesos	0.0115615709741694	0.00602804184473884	0.0108918224197273
mcomisiones	0.0115165306652978	0.0107750301198601	0.0149000130701869
mtransferencias_emitidas	0.00992127544730468	0.00608014116178669	0.00880059251513963
Visa_msaldototal	0.00977604410162579	0.00799522522427083	0.00945410186032327
ccomisiones_otras	0.00850694632950996	0.00766234582792613	0.00919269812224982
mtarjeta_visa_debitos_automaticos	0.00832078309286916	0.00486827926252431	0.00836491961835054
cproductos	0.00650924104945036	0.00604269852042558	0.00727573737637782
ctarjeta_visa_trx	0.0061074404045133	0.00334892774682337	0.00444386354724873
mpagomiscuentas	0.00543719419499864	0.004805775053135	0.00466169999564327
Master_mpagospesos	0.0051568913887003	0.00565209183704158	0.00379035420206509
mautoservicio	0.00507165072865525	0.00472619576474771	0.00684006447958872
mcuenta_debitos_automaticos	0.00489520422783776	0.0043960203736291	0.00487953644403782
Master_mlimitecompra	0.00443924723394041	0.0053180665781756	0.00540234392018473
ctransferencias_recibidas	0.00439393877706652	0.00278082868632435	0.00370321962270727
Visa_mlimitecompra	0.00428916031781804	0.00630730293643209	0.00579444952729491
ctarjeta_debito	0.00423353834405135	0.00529933892358161	0.00579444952729491
Visa_mpagado	0.00397848963785575	0.00407482071365707	0.00418245980917527
Visa_cconsumos	0.00379798214612958	0.00300426496824981	0.00531520934082691
mcomisiones_mantenimiento	0.00365971199664096	0.00362330136058668	0.00344181588463382
ccaja_ahorro	0.00334097994419349	0.00371294581323122	0.00200409532522982
mextraccion_autoservicio	0.00279250382708906	0.00507332185983686	0.00235263364266109
cmobile_app_trx	0.0027451676180641	0.00195219734034668	0.00278830653945018
ctarjeta_debito_trx	0.00266902745982288	0.00237365248539648	0.00313684485688145
Master_fultimo_cierre	0.00246117066131894	0.00267788647032985	0.00296257569816582
thomebanking	0.00238339900275376	0.00141485346024288	0.00239620093234
Visa_mconsumosdolares	0.00237401046218493	0.00236442109447129	0.00326754672591818
