fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220426 005515	0	0	0	1	hist	lossguide	256	0	1	0.0100624705692899	0.200673243155654	5	252	0.0161128997701933	491	13231000	41
20220426 011346	0	0	0	1	hist	lossguide	256	0	1	0.0103968627645261	0.356430110921495	8	323	0.0127535619512963	278	13366000	42
20220426 011708	0	0	0	1	hist	lossguide	256	0	1	0.0495018818345726	0.779544282739807	10	787	0.0152887025051302	37	13037000	43
20220426 011905	0	0	0	1	hist	lossguide	256	0	1	0.141284650455557	0.569731554928483	7	218	0.0143713931052512	8	12386000	44
20220426 013232	0	0	0	1	hist	lossguide	256	0	1	0.0100123229154703	0.531463897634974	9	874	0.0139503233377111	259	13416000	45
20220426 014431	0	0	0	1	hist	lossguide	256	0	1	0.0103218730074155	0.201401359284061	10	1024	0.012508307802016	325	12945000	46
20220426 015959	0	0	0	1	hist	lossguide	256	0	1	0.0100103896232466	0.200997586957701	6	106	0.0211985009739987	373	12319000	47
20220426 020601	0	0	0	1	hist	lossguide	256	0	1	0.031801745001661	0.202332679994687	10	881	0.0127903181314909	201	12941000	48
20220426 021722	0	0	0	1	hist	lossguide	256	0	1	0.0101065431207993	0.724635032707706	10	1024	0.0140048628616556	258	13340000	49
20220426 022100	0	0	0	1	hist	lossguide	256	0	1	0.0355815097327229	0.546034457531967	10	362	0.014294639343015	58	13281000	50
20220426 023406	0	0	0	1	hist	lossguide	256	0	1	0.0100785614927467	0.622803462146193	10	848	0.0234530579826078	299	12133000	51
20220426 025333	0	0	0	1	hist	lossguide	256	0	1	0.0100034801193733	0.200238564470534	7	532	0.0153182898311003	407	13250000	52
20220426 030942	0	0	0	1	hist	lossguide	256	0	1	0.0104216942512154	0.997643288215557	5	907	0.0124759816590917	90	12644000	53
20220426 032408	0	0	0	1	hist	lossguide	256	0	1	0.0101013217429584	0.638081996280616	7	28	0.0330831886996851	425	10222000	54
20220426 032852	0	0	0	1	hist	lossguide	256	0	1	0.0283181473832473	0.621815162584977	10	921	0.0159145187182873	101	13298000	55
20220426 033935	0	0	0	1	hist	lossguide	256	0	1	0.0101037887988805	0.733436399061565	10	875	0.0128664258351559	211	13446000	56
20220426 034141	0	0	0	1	hist	lossguide	256	0	1	0.114598082260912	0.200765865203427	6	374	0.0123559983915401	18	12360000	57
20220426 035317	0	0	0	1	hist	lossguide	256	0	1	0.0108754479608522	0.340665516553669	7	281	0.0165443591661377	214	13054000	58
20220426 040646	0	0	0	1	hist	lossguide	256	0	1	0.0100478774974224	0.527392104883388	4	1021	0.0088100069938983	87	12530000	59
20220426 040831	0	0	0	1	hist	lossguide	256	0	1	0.162612509752388	0.201292280336416	10	418	0.0177891697534557	16	12336000	60
20220426 041023	0	0	0	1	hist	lossguide	256	0	1	0.124906549582698	0.999506917293866	10	512	0.0135225508138362	21	12475000	61
20220426 042039	0	0	0	1	hist	lossguide	256	0	1	0.0133406557851226	0.203339196000106	6	213	0.0101271526593285	64	12827000	62
20220426 043538	0	0	0	1	hist	lossguide	256	0	1	0.0100686855271157	0.200553827375182	10	402	0.0137587816126644	333	13198000	63
20220426 044149	0	0	0	1	hist	lossguide	256	0	1	0.0333820069255193	0.306616466635406	5	496	0.0120441786730494	50	12739000	64
20220426 044610	0	0	0	1	hist	lossguide	256	0	1	0.0400946794473682	0.678362597714015	8	876	0.0126314675332141	44	13211000	65
20220426 045008	0	0	0	1	hist	lossguide	256	0	1	0.0350771460022671	0.75574967796136	10	1001	0.00844363759039658	20	11846000	66
20220426 050713	0	0	0	1	hist	lossguide	256	0	1	0.0101140461261441	0.639238584157335	6	1024	0.0148135244430558	241	13004000	67
20220426 050915	0	0	0	1	hist	lossguide	256	0	1	0.190851941332061	0.204824057118592	7	1024	0.0177381678109525	12	11554000	68
20220426 052840	0	0	0	1	hist	lossguide	256	0	1	0.0101762764075517	0.999104541511644	5	544	0.0136990960921699	202	12825000	69
20220426 053114	0	0	0	1	hist	lossguide	256	0	1	0.0998881404545497	0.204366732032927	10	242	0.0168158944429799	33	12519000	70
20220426 053627	0	0	0	1	hist	lossguide	256	0	1	0.0343483035561288	0.415963785240771	10	555	0.0159997895713509	87	13180000	71
20220426 055444	0	0	0	1	hist	lossguide	256	0	1	0.0103721655112206	0.200882418703136	5	845	0.0133092601932613	303	13017000	72
20220426 060753	0	0	0	1	hist	lossguide	256	0	1	0.011432342163155	0.704011895152764	10	568	0.0172889176045055	299	13150000	73
20220426 062603	0	0	0	1	hist	lossguide	256	0	1	0.0109748735642121	0.200394127518627	10	549	0.0218070013512236	571	12738000	74
20220426 063119	0	0	0	1	hist	lossguide	256	0	1	0.0314753214444933	0.582496217883614	10	852	0.0131901897386247	85	13602000	75
20220426 064432	0	0	0	1	hist	lossguide	256	0	1	0.0121380408528178	0.531989244265926	7	326	0.0113810900881784	205	13111000	76
20220426 064900	0	0	0	1	hist	lossguide	256	0	1	0.0404561428829991	0.621031923521159	9	536	0.0128406592550286	61	13343000	77
20220426 065110	0	0	0	1	hist	lossguide	256	0	1	0.139705295829525	0.200235106212524	10	964	0.0242666462510751	19	11431000	78
20220426 070819	0	0	0	1	hist	lossguide	256	0	1	0.011527839204875	0.212977434541504	10	292	0.0106451552229436	501	12499000	79
20220426 072230	0	0	0	1	hist	lossguide	256	0	1	0.0102822933968236	0.998970370904168	10	585	0.0370039322183657	211	9217000	80
20220426 072750	0	0	0	1	hist	lossguide	256	0	1	0.0410169350896832	0.698068907222267	10	424	0.0182061264150419	92	12802000	81
20220426 073024	0	0	0	1	hist	lossguide	256	0	1	0.13282739100242	0.596748728813615	10	561	0.0161730629717788	29	12566000	82
20220426 080344	0	0	0	1	hist	lossguide	256	0	1	0.0103806592577699	0.203670648298679	6	811	0.0194841638277006	507	12944000	83
20220426 082629	0	0	0	1	hist	lossguide	256	0	1	0.010627739764972	0.200913590957516	8	355	0.0165382027934206	452	13315000	84
20220426 083033	0	0	0	1	hist	lossguide	256	0	1	0.0515714235146449	0.714685454669689	10	608	0.0122871575411041	35	13125000	85
20220426 084749	0	0	0	1	hist	lossguide	256	0	1	0.0103195509762902	0.277889225549184	7	18	0.0135641567344761	682	13218000	86
20220426 091130	0	0	0	1	hist	lossguide	256	0	1	0.0102716548939348	0.228509036859155	6	146	0.0140017521819711	540	13152000	87
20220426 092141	0	0	0	1	hist	lossguide	256	0	1	0.0221978855454059	0.200455263171412	6	527	0.0180430405356634	162	12642000	88
20220426 093512	0	0	0	1	hist	lossguide	256	0	1	0.0148315005933888	0.204955836892261	5	2	0.0156001197174862	1499	13079000	89
20220426 094940	0	0	0	1	hist	lossguide	256	0	1	0.0100935526981187	0.376552510072274	7	1019	0.010301958048476	59	12684000	90
20220426 095138	0	0	0	1	hist	lossguide	256	0	1	0.290335526568566	0.860902823475625	10	1024	0.0138058340613606	7	11709000	91
20220426 095354	0	0	0	1	hist	lossguide	256	0	1	0.24576755977015	0.924361740874432	10	1023	0.0141427995387532	6	11675000	92
20220426 101228	0	0	0	1	hist	lossguide	256	0	1	0.0111136618450961	0.21236701979552	8	47	0.0158564788376698	322	13147000	93
20220426 102743	0	0	0	1	hist	lossguide	256	0	1	0.016639800005126	0.25230565964698	7	910	0.0224334733591986	227	12514000	94
20220426 105224	0	0	0	1	hist	lossguide	256	0	1	0.0102105527975904	0.20168998915666	10	95	0.0194559180236732	492	12846000	95
20220426 112117	0	0	0	1	hist	lossguide	256	0	1	0.0100073617050552	0.200019663647046	10	862	0.0198045106871659	620	12830000	96
20220426 112746	0	0	0	1	hist	lossguide	256	0	1	0.0753160221331556	0.200330947385284	7	3	0.0116602917023601	332	13136000	97
20220426 191358	0	0	0	1	hist	lossguide	256	0	1	0.0373046869437753	0.200812505186799	8	676	0.0206874150911457	103	12534000	98
