Feature	Gain	Cover	Frequency
ctrx_quarter	0.0837524842758119	0.0263334266554598	0.0327582665845143
mpayroll	0.0788620739918859	0.0286953836544903	0.0121174779215445
mpasivos_margen	0.0746945567716917	0.0256723420602102	0.0379954816184021
mtarjeta_visa_consumo	0.0585689908974796	0.0129500041146973	0.0161224070651058
Visa_msaldopesos	0.054523693899452	0.0170529841776932	0.0189977408092011
cpayroll_trx	0.0309164681295049	0.0145541521867344	0.00492914356130622
mcuentas_saldo	0.0278577463767956	0.0249495457014914	0.0294721708769768
mprestamos_personales	0.0261329326197241	0.0180231344426818	0.00636681043335387
mrentabilidad_annual	0.0251569018529235	0.0201557556411143	0.0254672417334155
mcaja_ahorro	0.0209054581983181	0.0163765051832788	0.023310741425344
mactivos_margen	0.0192696503052269	0.0215880509369363	0.0170466214828507
Master_Fvencimiento	0.0185664338315185	0.0214183348913992	0.0296775518586979
mrentabilidad	0.0170782984751415	0.0169219777414181	0.0205380981721093
cliente_edad	0.0169548592599267	0.023638686276163	0.0250564797699733
mcuenta_corriente	0.0164186472734145	0.0101722045417145	0.0154035736290819
Master_fechaalta	0.0153548877439786	0.0207853408508554	0.0237215033887862
Visa_fechaalta	0.0150577757259395	0.0142885565634426	0.0208461696446909
ctarjeta_visa_trx	0.014248091370295	0.0169219528957126	0.0193058122817827
chomebanking_trx	0.0139772431711232	0.0145429964649381	0.0179708359005956
cliente_antiguedad	0.0137610898424205	0.0166690534279617	0.023310741425344
numero_de_cliente	0.0137431922830382	0.0121715484063838	0.0213596220989936
Visa_Fvencimiento	0.0130674724444934	0.0111918325447547	0.0184842883548983
Master_mlimitecompra	0.012873099237589	0.00742937281473634	0.0138632162661738
Master_mfinanciacion_limite	0.0126489862637396	0.00978253940313986	0.0191004313000616
Visa_mfinanciacion_limite	0.0121022215728166	0.0159874810639076	0.0211542411172725
mcaja_ahorro_dolares	0.0115874108861358	0.016141718234881	0.0172520024645718
mcomisiones	0.0115715562105318	0.0131658983885875	0.017662764428014
mtransferencias_recibidas	0.0115369076296904	0.0101557169315051	0.0159170260833847
mcomisiones_otras	0.01153408704039	0.0134617411738277	0.0186896693366194
Visa_mpagospesos	0.0115165956178353	0.0113133727672115	0.0195111932635038
mautoservicio	0.0113186849381576	0.0144109812930173	0.0205380981721093
Visa_mconsumospesos	0.00944431189125156	0.0106673049164021	0.015608954610803
Visa_mpagominimo	0.00921919972656631	0.0106380317061117	0.016533169028548
cproductos	0.00886997297171449	0.00889254138428674	0.0105771205586363
ccomisiones_otras	0.00787689443206697	0.0164404977825183	0.015608954610803
Visa_cconsumos	0.00773837482809639	0.00690395074098366	0.0127336208667077
Visa_msaldototal	0.00738824449857045	0.0123196139040961	0.0207434791538304
ctransferencias_recibidas	0.00726219671240127	0.0107596911879552	0.0111932635037995
mtransferencias_emitidas	0.00693002511598412	0.0119336358682265	0.0130416923392894
Visa_mconsumototal	0.00685325394839509	0.0085987111011969	0.0139659067570343
Visa_mlimitecompra	0.00681516730408356	0.00850906779553759	0.0117067159581023
mtarjeta_visa_debitos_automaticos	0.00671863331239775	0.00789645220269379	0.011090573012939
mcomisiones_mantenimiento	0.00667820462928139	0.0112042255826878	0.00903676319572808
cprestamos_personales	0.00658356274422732	0.00526566963864868	0.00246457178065311
mcuenta_debitos_automaticos	0.00600457746091546	0.00914274757755489	0.0116040254672417
ccomisiones_mantenimiento	0.00587198463737237	0.0154088295505639	0.00616142945163278
ctarjeta_debito_trx	0.00555832480723575	0.0095610150923698	0.0154035736290819
ctransferencias_emitidas	0.00489314502039034	0.0135282233127643	0.00626411994249333
Master_mpagospesos	0.00475311238376072	0.0133235940817748	0.00770178681454097
Master_mpagominimo	0.00465860719964784	0.00407995306308318	0.00503183405216677
Visa_mpagado	0.00430656770272542	0.0119856329608218	0.00811254877798316
Master_status	0.00402717354032388	0.0116905454850307	0.00195111932635038
mextraccion_autoservicio	0.00386909699793196	0.0100560111150941	0.0118094064489628
Master_msaldototal	0.00357407579749618	0.00411774338123945	0.00503183405216677
mpagomiscuentas	0.0035576860057221	0.0098636159095222	0.0068802628876566
thomebanking	0.00350918370640683	0.00474885908644299	0.00328609570753748
mdescubierto_preacordado	0.00350591030117438	0.00850870504823642	0.00236188128979257
Master_msaldopesos	0.00347051075047575	0.00390818476226692	0.00544259601560895
ctarjeta_visa_debitos_automaticos	0.00345793546318196	0.00572572266107385	0.00626411994249333
ccuenta_debitos_automaticos	0.00295796545203841	0.00763341568707462	0.00626411994249333
tcallcenter	0.00291271718452165	0.0032534258836528	0.00164304785376874
ccallcenter_trx	0.00284992952297973	0.00727256659780812	0.00246457178065311
ccaja_ahorro	0.00282231661194136	0.0111079087205152	0.00349147668925857
ccajas_consultas	0.00253499981760425	0.00954133232442542	0.00184842883548983
ctarjeta_debito	0.00253358272951928	0.00280424534198054	0.00379954816184021
cpagomiscuentas	0.00245631023254202	0.00645203717169984	0.00605873896077223
Master_mconsumospesos	0.00244778102241652	0.00392029455915671	0.00575066748819059
cextraccion_autoservicio	0.00237242448578681	0.00443163408699816	0.00585335797905114
mplazo_fijo_dolares	0.00231835383689804	0.0146522728471307	0.0026699527623742
Visa_fultimo_cierre	0.00204131139118761	0.00183794616135365	0.00390223865270076
cmobile_app_trx	0.00200121422074219	0.0024357189296961	0.00297802423495584
ctarjeta_master	0.00188237888937769	0.00036423804350484	0.000821523926884371
Visa_mpagosdolares	0.00186591493427736	0.00575833513419148	0.00410761963442185
Visa_Finiciomora	0.00170978450509533	0.00424225018094009	0.00123228589032656
Master_fultimo_cierre	0.00167116658497262	0.00240229151743611	0.00379954816184021
Visa_mconsumosdolares	0.00166065065139993	0.0035104795533732	0.00349147668925857
Master_cconsumos	0.00145190247401381	0.00313376399653629	0.00297802423495584
Master_mconsumototal	0.00141672714651023	0.00244708832456021	0.00308071472581639
catm_trx	0.00129758365727599	0.00554655034000081	0.00400492914356131
ccaja_seguridad	0.00119203844858865	0.00791616478548484	0.00154035736290819
matm	0.00117445367288956	0.00406419094747612	0.00482645307044568
Visa_status	0.00105386978441734	0.00520809220058469	0.00112959539946601
cseguro_accidentes_personales	0.00103430117566513	0.00703809270530035	0.00195111932635038
tpaquete9	0.000862335285788828	0.00591490780148744	0.00143766687204765
